COUNTY,STNAME,County,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020
113,Colorado,San Miguel County,,8049,8195,8169,8105
115,Colorado,Sedgwick County,,2314,2284,2274,2260
117,Colorado,Summit County,,30848,30771,30851,30631
119,Colorado,Teller County,,24713,25158,25408,25529
121,Colorado,Washington County,,4909,4861,4869,4875
123,Colorado,Weld County,,306571,315360,324703,333983
125,Colorado,Yuma County,,9976,9964,10020,10047
0,Connecticut,Connecticut,,3575324,3574561,3566022,3557006
1,Connecticut,Fairfield County,,944107,945511,944388,942426
3,Connecticut,Hartford County,,893141,892767,891349,889226
5,Connecticut,Litchfield County,,181719,181151,180396,179610
7,Connecticut,Middlesex County,,163058,163053,162538,161657
9,Connecticut,New Haven County,,857845,856895,853818,851948
11,Connecticut,New London County,,267829,267089,265784,264999
13,Connecticut,Tolland County,,151136,150913,150865,150600
15,Connecticut,Windham County,,116489,117182,116884,116540
0,Delaware,Delaware,,957942,966985,976668,986809
1,Delaware,Kent County,,176754,178954,181492,183643
3,Delaware,New Castle County,,556491,557983,559941,561531
5,Delaware,Sussex County,,224697,230048,235235,241635
0,District of Columbia,District of Columbia,,697079,704147,708253,712816
1,District of Columbia,District of Columbia,,697079,704147,708253,712816
0,Florida,Florida,,20977089,21254926,21492056,21733312
1,Florida,Alachua County,,266501,269190,269489,271218
3,Florida,Baker County,,28255,28381,29288,29566
5,Florida,Bay County,,184841,186555,173895,171322
7,Florida,Bradford County,,27158,27759,28348,28593
9,Florida,Brevard County,,588165,594978,601024,608459
11,Florida,Broward County,,1935945,1948058,1955475,1958105
13,Florida,Calhoun County,,14463,14593,14140,14078
15,Florida,Charlotte County,,181998,185204,189669,194711
17,Florida,Citrus County,,145619,147920,150153,153010
19,Florida,Clay County,,212381,215902,219014,221770
21,Florida,Collier County,,373286,378657,385917,392973
23,Florida,Columbia County,,70051,70719,71766,72654
27,Florida,DeSoto County,,37159,37128,37821,38520
29,Florida,Dixie County,,16609,16692,16887,17057
31,Florida,Duval County,,939167,950469,959853,966728
33,Florida,Escambia County,,313882,315857,319379,322364
35,Florida,Flagler County,,110316,112415,115481,118451
37,Florida,Franklin County,,11730,11694,12113,12201
39,Florida,Gadsden County,,45984,45933,45670,45277
41,Florida,Gilchrist County,,17899,18263,18572,18885
43,Florida,Glades County,,13591,13762,13914,14198
45,Florida,Gulf County,,16115,16137,13498,13534
47,Florida,Hamilton County,,14397,14289,14470,14521
49,Florida,Hardee County,,27172,27106,26806,26822
51,Florida,Hendry County,,41074,41306,42069,42813
53,Florida,Hernando County,,186899,190851,194290,198792
55,Florida,Highlands County,,103828,104453,105890,106639
57,Florida,Hillsborough County,,1428960,1455351,1476431,1497957
59,Florida,Holmes County,,19458,19512,19661,19594
61,Florida,Indian River County,,154260,157023,159739,162518
63,Florida,Jackson County,,48288,48089,46257,46085
65,Florida,Jefferson County,,14226,14358,14280,14543
67,Florida,Lafayette County,,8603,8649,8384,8482
69,Florida,Lake County,,345848,357086,366941,375492
71,Florida,Lee County,,741188,755159,772268,790767
73,Florida,Leon County,,291125,291905,293866,295460
75,Florida,Levy County,,40339,40839,41620,42214
77,Florida,Liberty County,,8234,8421,8341,8364
79,Florida,Madison County,,18512,18623,18599,18707
81,Florida,Manatee County,,385458,394043,402977,411219
83,Florida,Marion County,,353953,359630,365997,373513
85,Florida,Martin County,,159716,160661,161212,162088
86,Florida,Miami-Dade County,,2709126,2709711,2711612,2707303
87,Florida,Monroe County,,76556,74362,73897,73900
89,Florida,Nassau County,,83024,85923,88583,91113
91,Florida,Okaloosa County,,204275,207731,211411,212820
93,Florida,Okeechobee County,,41248,41601,42141,42297
95,Florida,Orange County,,1357720,1383657,1395371,1404396
97,Florida,Osceola County,,353306,367359,374170,385315
99,Florida,Palm Beach County,,1470583,1482833,1497800,1507600
101,Florida,Pasco County,,525533,539129,554032,570412
103,Florida,Pinellas County,,968886,973343,975367,976802
105,Florida,Polk County,,685790,707095,724967,744552
107,Florida,Putnam County,,73418,73968,74309,74815
109,Florida,St. Johns County,,244067,254007,265068,278715
111,Florida,St. Lucie County,,313207,320340,328063,337186
113,Florida,Santa Rosa County,,174413,179573,184587,189139
115,Florida,Sarasota County,,420073,426890,435006,443465
117,Florida,Seminole County,,463052,468195,471791,474171
119,Florida,Sumter County,,125298,129351,133772,139018
121,Florida,Suwannee County,,44125,44206,44420,44851
123,Florida,Taylor County,,21784,21525,21537,21600
125,Florida,Union County,,15455,15302,15213,15182
127,Florida,Volusia County,,538755,547117,554065,561497
129,Florida,Wakulla County,,32055,32369,33636,34319
131,Florida,Walton County,,68110,70874,74127,76648
133,Florida,Washington County,,24577,24845,25647,25932
0,Georgia,Georgia,,10417031,10519389,10628020,10710017
1,Georgia,Appling County,,18447,18538,18389,18325
3,Georgia,Atkinson County,,8257,8344,8269,8393
5,Georgia,Bacon County,,11204,11096,11098,11036
7,Georgia,Baker County,,3158,3089,3047,2971
9,Georgia,Baldwin County,,44993,45001,45006,45099
11,Georgia,Banks County,,18607,18918,19175,19352
13,Georgia,Barrow County,,79086,81105,83581,85588
15,Georgia,Bartow County,,105190,106488,107757,109426
17,Georgia,Ben Hill County,,17059,16794,16711,16614
19,Georgia,Berrien County,,19071,19207,19377,19408
21,Georgia,Bibb County,,152920,153069,153191,152737
23,Georgia,Bleckley County,,12769,12833,12923,12955
25,Georgia,Brantley County,,18848,19021,19124,19202
27,Georgia,Brooks County,,15641,15491,15518,15357
29,Georgia,Bryan County,,37091,38151,39692,40755
31,Georgia,Bulloch County,,76046,77332,79718,80839
33,Georgia,Burke County,,22553,22501,22497,22648
35,Georgia,Butts County,,24064,24172,24917,25426
37,Georgia,Calhoun County,,6393,6340,6184,6231
39,Georgia,Camden County,,53211,53816,54784,55388
43,Georgia,Candler County,,10698,10813,10835,10985
45,Georgia,Carroll County,,117437,118094,120115,121633
47,Georgia,Catoosa County,,66570,67402,67585,67996
49,Georgia,Charlton County,,12779,12826,13277,13430
51,Georgia,Chatham County,,289771,289771,290185,289463
53,Georgia,Chattahoochee County,,10197,10548,10991,10551
55,Georgia,Chattooga County,,24757,24836,24846,24843
57,Georgia,Cherokee County,,247944,254277,259475,265274
59,Georgia,Clarke County,,126674,127179,128238,127795
61,Georgia,Clay County,,2971,2901,2901,2866
63,Georgia,Clayton County,,284175,289229,292404,292646
65,Georgia,Clinch County,,6658,6601,6637,6582
67,Georgia,Cobb County,,753361,757133,761060,762944
69,Georgia,Coffee County,,42871,43060,43278,43218
71,Georgia,Colquitt County,,45501,45467,45569,45542
73,Georgia,Columbia County,,151757,154399,157129,160377
75,Georgia,Cook County,,17217,17161,17241,17291
77,Georgia,Coweta County,,143218,146063,148504,150849
79,Georgia,Crawford County,,12236,12273,12345,12231
81,Georgia,Crisp County,,22675,22572,22382,22034
83,Georgia,Dade County,,16270,16238,16103,16057
85,Georgia,Dawson County,,24410,25106,26091,27113
87,Georgia,Decatur County,,26727,26613,26496,26457
89,Georgia,DeKalb County,,751680,755514,759932,762009
91,Georgia,Dodge County,,20777,20858,20672,20452
93,Georgia,Dooly County,,13694,13718,13400,13174
95,Georgia,Dougherty County,,89537,89247,87854,86477
97,Georgia,Douglas County,,143563,145260,146680,147988
99,Georgia,Early County,,10313,10255,10176,10037
101,Georgia,Echols County,,3888,3933,3963,4002
103,Georgia,Effingham County,,60121,62274,64342,65765
105,Georgia,Elbert County,,19104,19053,19205,19335
107,Georgia,Emanuel County,,22528,22582,22600,22507
109,Georgia,Evans County,,10747,10677,10661,10638
111,Georgia,Fannin County,,25348,25995,26068,26521
113,Georgia,Fayette County,,112626,113333,114645,115821
115,Georgia,Floyd County,,97459,97907,98325,98604
117,Georgia,Forsyth County,,229367,237330,244624,250847
119,Georgia,Franklin County,,22876,23039,23322,23504
121,Georgia,Fulton County,,1039996,1051516,1065019,1077402
123,Georgia,Gilmer County,,30470,31011,31575,31978
125,Georgia,Glascock County,,3031,2968,2959,2984
127,Georgia,Glynn County,,84836,85099,85326,85568
129,Georgia,Gordon County,,57204,57737,58046,58780
131,Georgia,Grady County,,24762,24730,24588,24491
133,Georgia,Greene County,,17225,17730,18356,18837
135,Georgia,Gwinnett County,,918681,928072,937399,942627
137,Georgia,Habersham County,,44687,45580,45542,46047
139,Georgia,Hall County,,198854,201396,204310,206591
141,Georgia,Hancock County,,8545,8344,8475,8494
143,Georgia,Haralson County,,29286,29626,29884,30383
145,Georgia,Harris County,,33945,34552,35188,36080
147,Georgia,Hart County,,25708,26078,26255,26406
149,Georgia,Heard County,,11748,11801,11825,11973
151,Georgia,Henry County,,225246,229873,234671,239139
153,Georgia,Houston County,,152757,155004,157427,160110
155,Georgia,Irwin County,,9362,9395,9442,9387
157,Georgia,Jackson County,,67681,70347,73015,76199
159,Georgia,Jasper County,,13881,14024,14207,14483
161,Georgia,Jeff Davis County,,15033,15015,15101,15213
163,Georgia,Jefferson County,,15638,15423,15344,15267
165,Georgia,Jenkins County,,8844,8790,8734,8746
167,Georgia,Johnson County,,9750,9767,9724,9667
169,Georgia,Jones County,,28459,28603,28689,28787
171,Georgia,Lamar County,,18582,18866,19001,19261
173,Georgia,Lanier County,,10456,10450,10581,10737
175,Georgia,Laurens County,,47362,47293,47567,47512
177,Georgia,Lee County,,29429,29764,30045,30234
179,Georgia,Liberty County,,61819,60887,62813,63004
181,Georgia,Lincoln County,,7859,7927,7969,8031
183,Georgia,Long County,,18822,19148,19647,20171
185,Georgia,Lowndes County,,115495,116361,117600,118268
187,Georgia,Lumpkin County,,32812,32934,33692,34186
189,Georgia,McDuffie County,,21517,21545,21317,21162
191,Georgia,McIntosh County,,14092,14243,14294,14387
193,Georgia,Macon County,,13255,13153,12934,12712
195,Georgia,Madison County,,29253,29653,29925,30457
197,Georgia,Marion County,,8438,8392,8413,8516
199,Georgia,Meriwether County,,21011,21061,21112,21164
201,Georgia,Miller County,,5816,5646,5667,5622
205,Georgia,Mitchell County,,22313,22156,21846,21602
207,Georgia,Monroe County,,27153,27523,27677,28042
209,Georgia,Montgomery County,,9032,9157,9148,9012
211,Georgia,Morgan County,,18374,18808,19239,19636
213,Georgia,Murray County,,39761,39836,39996,40032
215,Georgia,Muscogee County,,193858,194362,196074,196442
217,Georgia,Newton County,,107903,109556,111894,113295
219,Georgia,Oconee County,,38122,39500,40296,41124
221,Georgia,Oglethorpe County,,14851,15034,15222,15383
223,Georgia,Paulding County,,159642,164482,169302,173359
225,Georgia,Peach County,,27179,27574,27697,27950
227,Georgia,Pickens County,,31542,32039,32648,33127
229,Georgia,Pierce County,,19200,19398,19443,19522
231,Georgia,Pike County,,18213,18622,18953,19121
233,Georgia,Polk County,,41842,42373,42616,42840
235,Georgia,Pulaski County,,11197,11079,11161,11191
237,Georgia,Putnam County,,21676,21749,22083,22520
239,Georgia,Quitman County,,2334,2254,2300,2271
241,Georgia,Rabun County,,16560,16853,17116,17273
243,Georgia,Randolph County,,6974,6826,6806,6682
245,Georgia,Richmond County,,201965,202027,202639,202079
247,Georgia,Rockdale County,,89800,90402,90639,90939
249,Georgia,Schley County,,5236,5212,5254,5196
251,Georgia,Screven County,,13953,13960,13945,14012
253,Georgia,Seminole County,,8249,8266,8090,8060
255,Georgia,Spalding County,,65348,66092,66835,67414
257,Georgia,Stephens County,,25785,26083,26017,26107
259,Georgia,Stewart County,,6329,6434,6649,6689
261,Georgia,Sumter County,,29838,29713,29401,29282
263,Georgia,Talbot County,,6254,6281,6188,6143
265,Georgia,Taliaferro County,,1612,1610,1549,1562
267,Georgia,Tattnall County,,25420,25508,25317,25365
269,Georgia,Taylor County,,8181,8067,8051,8074
271,Georgia,Telfair County,,15912,15888,15813,15781
273,Georgia,Terrell County,,8698,8601,8573,8523
275,Georgia,Thomas County,,44623,44336,44427,44372
277,Georgia,Tift County,,40455,40562,40653,40719
279,Georgia,Toombs County,,26868,26910,26844,26973
281,Georgia,Towns County,,11557,11844,12009,12247
283,Georgia,Treutlen County,,6751,6780,6860,6822
285,Georgia,Troup County,,70123,70091,70059,70214
287,Georgia,Turner County,,7902,7917,7929,7882
289,Georgia,Twiggs County,,8268,8179,8164,8103
291,Georgia,Union County,,23406,23961,24606,25358
293,Georgia,Upson County,,26223,26249,26402,26527
295,Georgia,Walker County,,69087,69507,69769,70116
297,Georgia,Walton County,,91389,93450,94818,96875
299,Georgia,Ware County,,35705,35703,35816,35826
301,Georgia,Warren County,,5263,5227,5220,5232
303,Georgia,Washington County,,20313,20418,20352,20150
305,Georgia,Wayne County,,29843,29874,30017,30023
307,Georgia,Webster County,,2586,2575,2573,2595
309,Georgia,Wheeler County,,7958,7891,7870,7751
311,Georgia,White County,,29429,29893,30601,31094
313,Georgia,Whitfield County,,104086,104109,104265,103837
315,Georgia,Wilcox County,,8780,8784,8607,8502
317,Georgia,Wilkes County,,9868,9845,9769,9694
319,Georgia,Wilkinson County,,8953,9005,8936,8812
321,Georgia,Worth County,,20532,20307,20185,19972
0,Hawaii,Hawaii,,1425763,1423102,1415615,1407006
1,Hawaii,Hawaii County,,200400,202263,202165,203340
3,Hawaii,Honolulu County,,986973,981076,973491,963826
5,Hawaii,Kalawao County,,87,87,87,87
7,Hawaii,Kauai County,,71838,72292,72190,71851
9,Hawaii,Maui County,,166465,167384,167682,167902
0,Idaho,Idaho,,1719745,1752074,1789060,1826913
1,Idaho,Ada County,,456994,469161,481880,494399
3,Idaho,Adams County,,4128,4215,4265,4447
5,Idaho,Bannock County,,85571,86761,87822,88795
7,Idaho,Bear Lake County,,6029,6026,6131,6143
9,Idaho,Benewah County,,9167,9222,9303,9430
11,Idaho,Bingham County,,45888,46054,46772,47202
13,Idaho,Blaine County,,22401,22736,23012,23426
15,Idaho,Boise County,,7370,7689,7903,8065
17,Idaho,Bonner County,,43715,44709,45774,46817
19,Idaho,Bonneville County,,114608,116661,119286,122134
21,Idaho,Boundary County,,11995,12073,12340,12656
23,Idaho,Butte County,,2582,2592,2620,2646
25,Idaho,Camas County,,1092,1098,1091,1130
27,Idaho,Canyon County,,217037,223518,230270,237053
29,Idaho,Caribou County,,6980,7019,7149,7123
31,Idaho,Cassia County,,23661,23769,24052,24277
33,Idaho,Clark County,,878,845,838,852
35,Idaho,Clearwater County,,8651,8759,8761,8846
37,Idaho,Custer County,,4138,4216,4273,4249
39,Idaho,Elmore County,,26907,27309,27373,27448
41,Idaho,Franklin County,,13501,13718,13898,14215
43,Idaho,Fremont County,,13140,13162,13105,13218
45,Idaho,Gem County,,17351,17622,18174,18703
47,Idaho,Gooding County,,15155,15187,15290,15618
49,Idaho,Idaho County,,16392,16469,16623,16823
51,Idaho,Jefferson County,,28448,29418,29918,30581
53,Idaho,Jerome County,,23791,24078,24486,24578
55,Idaho,Kootenai County,,157594,161279,165656,170628
57,Idaho,Latah County,,39903,39996,40372,40830
59,Idaho,Lemhi County,,7837,7974,8067,8054
61,Idaho,Lewis County,,3883,3835,3845,3838
63,Idaho,Lincoln County,,5361,5360,5325,5358
65,Idaho,Madison County,,39540,39451,40205,40318
67,Idaho,Minidoka County,,20683,20667,20910,21216
69,Idaho,Nez Perce County,,40376,40408,40601,40755
71,Idaho,Oneida County,,4393,4429,4500,4520
73,Idaho,Owyhee County,,11632,11664,11823,12133
75,Idaho,Payette County,,23218,23560,24051,24771
77,Idaho,Power County,,7587,7654,7636,7643
79,Idaho,Shoshone County,,12511,12781,12868,12911
81,Idaho,Teton County,,11463,11640,12096,12501
83,Idaho,Twin Falls County,,85439,86166,87127,88411
85,Idaho,Valley County,,10700,11054,11443,11792
87,Idaho,Washington County,,10055,10070,10126,10360
0,Illinois,Illinois,,12779893,12724685,12667017,12587530
1,Illinois,Adams County,,66073,65603,65402,64783
3,Illinois,Alexander County,,6276,6043,5791,5497
5,Illinois,Bond County,,16654,16668,16458,16262
7,Illinois,Boone County,,53481,53368,53281,52777
9,Illinois,Brown County,,6614,6580,6619,6546
11,Illinois,Bureau County,,33134,32938,32621,32303
13,Illinois,Calhoun County,,4847,4834,4740,4616
15,Illinois,Carroll County,,14473,14337,14338,14241
17,Illinois,Cass County,,12525,12353,12141,11925
19,Illinois,Champaign County,,210630,210206,209612,209192
21,Illinois,Christian County,,33045,32709,32427,32075
23,Illinois,Clark County,,15824,15594,15465,15268
25,Illinois,Clay County,,13259,13260,13177,13079
27,Illinois,Clinton County,,37649,37666,37440,37398
29,Illinois,Coles County,,51403,50946,50774,50383
31,Illinois,Cook County,,5199582,5171007,5145326,5108284
33,Illinois,Crawford County,,18979,18849,18686,18512
35,Illinois,Cumberland County,,10887,10782,10733,10649
37,Illinois,DeKalb County,,104513,104587,105131,104491
39,Illinois,De Witt County,,15910,15768,15624,15368
41,Illinois,Douglas County,,19616,19449,19450,19510
43,Illinois,DuPage County,,930569,927808,922761,917481
45,Illinois,Edgar County,,17415,17379,17169,16858
47,Illinois,Edwards County,,6455,6393,6405,6356
49,Illinois,Effingham County,,34165,34233,34109,34065
51,Illinois,Fayette County,,21537,21380,21332,21264
53,Illinois,Ford County,,13291,13215,12972,12949
55,Illinois,Franklin County,,39024,38737,38530,38060
57,Illinois,Fulton County,,35099,34743,34240,33690
59,Illinois,Gallatin County,,5073,5049,4833,4793
61,Illinois,Greene County,,13153,13051,12922,12702
63,Illinois,Grundy County,,50627,51012,51031,50993
65,Illinois,Hamilton County,,8192,8149,8133,8084
67,Illinois,Hancock County,,17959,17815,17700,17422
69,Illinois,Hardin County,,3920,3876,3848,3808
71,Illinois,Henderson County,,6824,6726,6709,6535
73,Illinois,Henry County,,49222,49082,48933,48411
75,Illinois,Iroquois County,,27780,27450,27093,26711
77,Illinois,Jackson County,,57973,57327,56844,56675
79,Illinois,Jasper County,,9504,9589,9618,9465
81,Illinois,Jefferson County,,38059,37704,37635,37235
83,Illinois,Jersey County,,21892,21738,21667,21616
85,Illinois,Jo Daviess County,,21509,21349,21224,21239
87,Illinois,Johnson County,,12394,12380,12380,12358
89,Illinois,Kane County,,532101,532838,532293,531010
91,Illinois,Kankakee County,,110530,109863,109569,108594
93,Illinois,Kendall County,,126163,127663,128900,130638
95,Illinois,Knox County,,50601,50008,49669,49053
97,Illinois,Lake County,,702825,700455,697134,693593
99,Illinois,LaSalle County,,109590,109136,108517,107571
101,Illinois,Lawrence County,,16025,15816,15665,15467
103,Illinois,Lee County,,34533,34281,34061,33647
105,Illinois,Livingston County,,36080,35630,35557,35414
107,Illinois,Logan County,,29035,28873,28633,28383
109,Illinois,McDonough County,,30419,30091,29792,29295
111,Illinois,McHenry County,,307842,308145,307439,305888
113,Illinois,McLean County,,172769,172368,171272,171256
115,Illinois,Macon County,,105474,104529,104012,103015
117,Illinois,Macoupin County,,45521,45342,45079,44567
119,Illinois,Madison County,,265516,264481,263609,262635
121,Illinois,Marion County,,37757,37453,37309,37045
123,Illinois,Marshall County,,11667,11485,11463,11309
125,Illinois,Mason County,,13672,13520,13387,13173
127,Illinois,Massac County,,14298,14037,13772,13636
129,Illinois,Menard County,,12311,12297,12198,12068
131,Illinois,Mercer County,,15618,15572,15490,15225
133,Illinois,Monroe County,,34261,34446,34738,34739
135,Illinois,Montgomery County,,28781,28705,28401,28045
137,Illinois,Morgan County,,34275,34052,33679,33400
139,Illinois,Moultrie County,,14704,14662,14464,14347
141,Illinois,Ogle County,,51021,50802,50660,50306
143,Illinois,Peoria County,,182657,180773,179359,177652
145,Illinois,Perry County,,21292,21163,20935,20664
147,Illinois,Piatt County,,16427,16375,16391,16355
149,Illinois,Pike County,,15669,15614,15574,15239
151,Illinois,Pope County,,4193,4183,4176,4142
153,Illinois,Pulaski County,,5531,5426,5309,5201
155,Illinois,Putnam County,,5696,5740,5745,5716
157,Illinois,Randolph County,,32258,32161,31725,31351
159,Illinois,Richland County,,15842,15700,15519,15507
161,Illinois,Rock Island County,,143824,142522,141775,140907
163,Illinois,St. Clair County,,262881,261631,259889,258046
165,Illinois,Saline County,,23968,23769,23540,23182
167,Illinois,Sangamon County,,197163,195802,194882,193882
169,Illinois,Schuyler County,,6984,6896,6829,6738
171,Illinois,Scott County,,4983,4952,4974,4950
173,Illinois,Shelby County,,21773,21685,21625,21299
175,Illinois,Stark County,,5459,5407,5312,5262
177,Illinois,Stephenson County,,44998,44702,44371,43831
179,Illinois,Tazewell County,,133525,132465,131848,130777
181,Illinois,Union County,,16982,16853,16693,16498
183,Illinois,Vermilion County,,77722,76703,75736,74855
185,Illinois,Wabash County,,11466,11407,11370,11190
187,Illinois,Warren County,,17133,16979,16816,16696
189,Illinois,Washington County,,13960,14010,13926,13764
191,Illinois,Wayne County,,16435,16311,16196,16031
193,Illinois,White County,,13898,13642,13574,13364
195,Illinois,Whiteside County,,56009,55532,55215,54656
197,Illinois,Will County,,690356,690934,690176,688726
199,Illinois,Williamson County,,67076,67017,66633,66415
201,Illinois,Winnebago County,,284658,283588,282465,281295
203,Illinois,Woodford County,,38676,38461,38353,38091
0,Indiana,Indiana,,6662068,6698481,6731010,6754953
1,Indiana,Adams County,,35409,35565,35688,35839
3,Indiana,Allen County,,371803,375076,379006,382187
5,Indiana,Bartholomew County,,82455,83062,84063,84447
7,Indiana,Benton County,,8637,8677,8763,8741
9,Indiana,Blackford County,,12019,11934,11787,11782
11,Indiana,Boone County,,65833,66999,67915,69347
13,Indiana,Brown County,,15025,15244,15066,15112
15,Indiana,Carroll County,,20074,20208,20211,20228
17,Indiana,Cass County,,37827,37885,37610,37388
19,Indiana,Clark County,,116648,117287,118191,119266
21,Indiana,Clay County,,26176,26215,26301,26246
23,Indiana,Clinton County,,32155,32113,32298,32206
25,Indiana,Crawford County,,10532,10585,10593,10629
27,Indiana,Daviess County,,33127,33314,33439,33505
29,Indiana,Dearborn County,,49634,49560,49573,49824
31,Indiana,Decatur County,,26627,26685,26472,26584
33,Indiana,DeKalb County,,42830,43231,43561,43670
35,Indiana,Delaware County,,115268,114118,113769,113454
37,Indiana,Dubois County,,42520,42568,42578,42542
39,Indiana,Elkhart County,,204279,205588,206268,206161
41,Indiana,Fayette County,,23138,23026,23038,22892
43,Indiana,Floyd County,,77043,77870,78601,78936
45,Indiana,Fountain County,,16442,16439,16425,16511
47,Indiana,Franklin County,,22702,22752,22763,22761
49,Indiana,Fulton County,,20022,20113,20042,20018
51,Indiana,Gibson County,,33730,33622,33709,33825
53,Indiana,Grant County,,66373,66112,65836,65225
55,Indiana,Greene County,,32194,32124,32117,32203
57,Indiana,Hamilton County,,323225,330635,337955,344238
59,Indiana,Hancock County,,75040,76521,78159,79553
61,Indiana,Harrison County,,39797,40258,40552,40682
63,Indiana,Hendricks County,,163637,166759,169924,173251
65,Indiana,Henry County,,48178,48205,48025,48033
67,Indiana,Howard County,,82302,82339,82660,82732
69,Indiana,Huntington County,,36253,36249,36544,36395
71,Indiana,Jackson County,,43942,44049,44179,44222
73,Indiana,Jasper County,,33439,33356,33516,33440
75,Indiana,Jay County,,20879,20721,20446,20416
77,Indiana,Jefferson County,,32031,32169,32265,32110
79,Indiana,Jennings County,,27686,27650,27662,27515
81,Indiana,Johnson County,,153879,156301,158332,160607
83,Indiana,Knox County,,37070,36602,36603,36522
85,Indiana,Kosciusko County,,79121,79467,79438,78988
87,Indiana,LaGrange County,,39247,39425,39771,40119
89,Indiana,Lake County,,484834,484918,486244,487536
91,Indiana,LaPorte County,,109958,110134,110044,109663
93,Indiana,Lawrence County,,45595,45690,45419,45496
95,Indiana,Madison County,,129465,129509,129416,129681
97,Indiana,Marion County,,951247,959370,963829,966183
99,Indiana,Marshall County,,46434,46311,46197,46108
101,Indiana,Martin County,,10188,10204,10179,10079
103,Indiana,Miami County,,35903,35652,35488,35328
105,Indiana,Monroe County,,146840,147411,148178,148219
107,Indiana,Montgomery County,,38343,38251,38275,38365
109,Indiana,Morgan County,,69835,70108,70403,70707
111,Indiana,Newton County,,14036,13979,13972,13907
113,Indiana,Noble County,,47379,47649,47907,47832
115,Indiana,Ohio County,,5867,5880,5908,5892
117,Indiana,Orange County,,19413,19567,19657,19651
119,Indiana,Owen County,,20779,20879,20881,20833
121,Indiana,Parke County,,16902,16955,16893,16871
123,Indiana,Perry County,,19010,19100,19184,19154
125,Indiana,Pike County,,12302,12384,12383,12378
127,Indiana,Porter County,,168568,169647,170599,170980
129,Indiana,Posey County,,25563,25529,25408,25275
131,Indiana,Pulaski County,,12529,12502,12379,12388
133,Indiana,Putnam County,,37409,37494,37566,37469
135,Indiana,Randolph County,,24917,24736,24533,24191
137,Indiana,Ripley County,,28432,28526,28465,28448
139,Indiana,Rush County,,16642,16635,16605,16649
141,Indiana,St. Joseph County,,270219,270961,271695,271484
143,Indiana,Scott County,,23810,23773,23855,23788
145,Indiana,Shelby County,,44378,44535,44771,44871
147,Indiana,Spencer County,,20441,20385,20273,20225
149,Indiana,Starke County,,22946,22953,23011,23049
151,Indiana,Steuben County,,34422,34570,34759,34831
153,Indiana,Sullivan County,,20690,20673,20601,20578
155,Indiana,Switzerland County,,10689,10757,10815,10724
157,Indiana,Tippecanoe County,,191334,193705,194881,196115
159,Indiana,Tipton County,,15148,15100,15133,15227
161,Indiana,Union County,,7199,7086,7135,7119
163,Indiana,Vanderburgh County,,181031,181165,181561,182447
165,Indiana,Vermillion County,,15507,15508,15493,15329
167,Indiana,Vigo County,,107648,107438,106958,106608
169,Indiana,Wabash County,,31401,31210,31028,30784
171,Indiana,Warren County,,8203,8268,8262,8194
173,Indiana,Warrick County,,62433,62443,62851,63269
175,Indiana,Washington County,,27780,27936,28063,28213
177,Indiana,Wayne County,,66307,66131,65943,65778
179,Indiana,Wells County,,27934,27982,28131,28142
181,Indiana,White County,,24178,24168,24197,24165
183,Indiana,Whitley County,,33732,34036,33868,34378
0,Iowa,Iowa,,3143734,3149900,3159596,3163561
1,Iowa,Adair County,,7047,7028,7102,7059
3,Iowa,Adams County,,3655,3628,3602,3588
5,Iowa,Allamakee County,,13812,13832,13671,13642
7,Iowa,Appanoose County,,12367,12467,12525,12430
9,Iowa,Audubon County,,5550,5482,5491,5481
11,Iowa,Benton County,,25651,25546,25544,25414
13,Iowa,Black Hawk County,,132278,131769,131089,130786
15,Iowa,Boone County,,26498,26356,26338,26277
17,Iowa,Bremer County,,24861,25022,25170,25311
19,Iowa,Buchanan County,,21133,21140,21148,21287
21,Iowa,Buena Vista County,,20154,19807,19690,19772
23,Iowa,Butler County,,14593,14516,14404,14333
25,Iowa,Calhoun County,,9730,9653,9616,9473
27,Iowa,Carroll County,,20256,20101,20118,19914
29,Iowa,Cass County,,13155,12959,12822,12817
31,Iowa,Cedar County,,18488,18508,18541,18485
33,Iowa,Cerro Gordo County,,43030,42643,42477,42103
35,Iowa,Cherokee County,,11315,11281,11231,11190
37,Iowa,Chickasaw County,,12008,11965,11943,11834
39,Iowa,Clarke County,,9395,9489,9382,9353
41,Iowa,Clay County,,16151,16167,16094,15976
43,Iowa,Clayton County,,17647,17515,17497,17321
45,Iowa,Clinton County,,46926,46506,46559,46392
47,Iowa,Crawford County,,17065,17081,16903,16834
49,Iowa,Dallas County,,87219,89999,93631,96963
51,Iowa,Davis County,,8969,8967,9006,9051
53,Iowa,Decatur County,,7956,7901,7852,7769
55,Iowa,Delaware County,,17139,17115,17057,16937
57,Iowa,Des Moines County,,39400,39259,39051,38708
59,Iowa,Dickinson County,,17167,17159,17290,17549
61,Iowa,Dubuque County,,97162,96961,97432,97590
63,Iowa,Emmet County,,9428,9276,9224,9095
65,Iowa,Fayette County,,19680,19643,19575,19258
67,Iowa,Floyd County,,15778,15784,15655,15480
69,Iowa,Franklin County,,10150,10081,10082,9971
71,Iowa,Fremont County,,6927,6956,6917,6729
73,Iowa,Greene County,,8959,8971,8881,8795
75,Iowa,Grundy County,,12296,12268,12227,12217
77,Iowa,Guthrie County,,10652,10719,10741,10737
